Directory,AppTime Aggregate,MPITime Aggregate,MPI%
1,0.030763,0.000134,0.43
2,0.06131,0.004814,7.85
4,0.129992,0.017138,13.18
6,0.209072,0.030762,14.71
,,,
,,,
,,0.000583,
,,,
,,,
,,,
,,,
,AppTime Aggregate,,
1,0.030763,,
2,0.06131,,
4,0.129992,,
6,0.209072,,
,,,
,MPITime Aggregate,,
1,0.000134,,
2,0.004814,,
4,0.017138,,
6,0.030762,,
,,,
,MPI%,,
1,0.43,,
2,7.85,,
4,13.18,,
6,14.71,,
,,,
,,,
1,0.0189513376458733,0.030763,
2,0.0095090523568749,0.06131,
4,0.00448489137793095,0.129992,
6,0.00278851304813653,0.209072,
